ComplaintID,Category,Description,Location,Latitude,Longitude,PhotoURL,Status,DateReported,DateResolved,Upvotes,Downvotes,UserComments
CMP0001,Streetlight,Customer reported a streetlight issue in Pitampura area. The specific details provided were: This problem has been persisting for several weeks. Nearby residents are experiencing inconvenience due to streetlight.,Pitampura,28.7043,77.1342,https://example.com/images/CMP0001.jpg,Open,23-09-2023,,18,7,This impacts daily life significantly. Hoping for a quick fix. | The problem has been here for weeks with no resolution.
CMP0002,Pothole,Customer reported a pothole issue in Karol Bagh area. The specific details provided were: This problem has been persisting for several weeks. Nearby residents are experiencing inconvenience due to pothole.,Karol Bagh,28.651,77.19,https://example.com/images/CMP0002.jpg,Resolved,24-09-2023,16-10-2023,53,50,I face the same problem in my area. Authorities must prioritize this. | Authorities should address this issue before it becomes critical. | This is unacceptable. Civic authorities must act now. | The situation is worsening day by day. Needs urgent attention.
CMP0003,Illegal Dumping,Customer reported a illegal dumping issue in Vasant Kunj area. The specific details provided were: This problem has been persisting for several weeks. Nearby residents are experiencing inconvenience due to illegal dumping.,Vasant Kunj,28.541,77.1542,https://example.com/images/CMP0003.jpg,Resolved,10-06-2023,27-06-2023,88,38,"I face the same problem in my area. Authorities must prioritize this. | This issue has been ignored for too long, please take immediate action. | The problem has been here for weeks with no resolution."
CMP0004,Illegal Dumping,Customer reported a illegal dumping issue in Dwarka area. The specific details provided were: This problem has been persisting for several weeks. Nearby residents are experiencing inconvenience due to illegal dumping.,Dwarka,28.5941,77.0442,https://example.com/images/CMP0004.jpg,Open,20-05-2023,,76,25,Authorities should address this issue before it becomes critical. | Thank you for reporting this. I hope it gets resolved quickly.
CMP0005,Graffiti,Customer reported a graffiti issue in Karol Bagh area. The specific details provided were: This problem has been persisting for several weeks. Nearby residents are experiencing inconvenience due to graffiti.,Karol Bagh,28.651,77.19,https://example.com/images/CMP0005.jpg,Open,12-04-2023,,48,48,"Thank you for reporting this. I hope it gets resolved quickly. | This is causing a lot of inconvenience to residents, kindly resolve soon. | Authorities should address this issue before it becomes critical. | This is unacceptable. Civic authorities must act now."
CMP0006,Trash,Customer reported a trash issue in Greater Kailash area. The specific details provided were: This problem has been persisting for several weeks. Nearby residents are experiencing inconvenience due to trash.,Greater Kailash,28.5478,77.241,https://example.com/images/CMP0006.jpg,Resolved,13-05-2023,23-05-2023,0,30,"This complaint is valid, and I support it fully. | This complaint is valid, and I support it fully. | This is causing a lot of inconvenience to residents, kindly resolve soon."
CMP0007,Pothole,Customer reported a pothole issue in Chandni Chowk area. The specific details provided were: This problem has been persisting for several weeks. Nearby residents are experiencing inconvenience due to pothole.,Chandni Chowk,28.6558,77.2295,https://example.com/images/CMP0007.jpg,Pending,23-03-2023,,66,0,"Thank you for reporting this. I hope it gets resolved quickly. | This impacts daily life significantly. Hoping for a quick fix. | This impacts daily life significantly. Hoping for a quick fix. | This complaint is valid, and I support it fully. | Thank you for reporting this. I hope it gets resolved quickly."
CMP0008,Illegal Dumping,Customer reported a illegal dumping issue in Connaught Place area. The specific details provided were: This problem has been persisting for several weeks. Nearby residents are experiencing inconvenience due to illegal dumping.,Connaught Place,28.6315,77.2167,https://example.com/images/CMP0008.jpg,Open,19-12-2023,,96,30,Authorities should address this issue before it becomes critical.
CMP0009,Noise Pollution,Customer reported a noise pollution issue in Vasant Kunj area. The specific details provided were: This problem has been persisting for several weeks. Nearby residents are experiencing inconvenience due to noise pollution.,Vasant Kunj,28.541,77.1542,https://example.com/images/CMP0009.jpg,Open,08-01-2023,,95,10,This impacts daily life significantly. Hoping for a quick fix. | The problem has been here for weeks with no resolution.
CMP0010,Streetlight,Customer reported a streetlight issue in Karol Bagh area. The specific details provided were: This problem has been persisting for several weeks. Nearby residents are experiencing inconvenience due to streetlight.,Karol Bagh,28.651,77.19,https://example.com/images/CMP0010.jpg,Resolved,29-10-2023,06-11-2023,76,8,"This issue has been ignored for too long, please take immediate action. | This complaint is valid, and I support it fully."
